9398;9443;45;BPW
9443;9445;2;PW
9445;9457;12;BPW
;9464;7;PW
9464;9480;16;BPW
9480;9487;7;PW
9487;9499;12;BPW
9499;9502;3;PW
9502;9569;67;BPW
9569;9633;64;PW
9633;9640;7;PW
9640;9677;37;BPW
9677;9684;7;PW
9684;9700;16;BPW
9700;9707;7;PW
9707;9728;21;BPW
9728;9735;7;PW
9735;9775;40;BPW
9775;9782;7;PW
9782;9800;18;BPW
9800;9807;7;PW
9807;9821;14;BPW
9821;9847;26;PW
9847;9864;17;BPW
9864;9871;7;PW
9871;9895;24;BPW
9895;9898;3;PW
9898;10026;128;PW
10026;10033;7;PW
10033;10052;19;BPW
10052;10062;10;PW
10062;10071;9;BPW
10071;10074;3;PW
10074;10076;2;BPW
10076;10079;3;PW
10079;10080;1;BPW
10080;10086;6;PW
10086;10101;15;BPW
10101;10113;12;PW
10113;10257;144;BPW
10257;10268;11;PW
10268;10276;8;BPW
10276;10284;8;PW
10284;10307;23;BPW
10307;10318;11;PW
10318;10321;3;BPW
10321;10323;2;PW
10323;10333;10;BPW
10333;10375;42;PW
10375;10428;53;BPW
10428;10435;7;PW
10435;10461;26;BPW
10461;10469;8;PW
10469;10479;10;BPW
10479;10489;10;PW
10489;10516;27;BPW
10516;10526;10;PW
10526;10539;13;BPW
10539;10667;128;PW
10667;10677;10;PW
10677;10699;22;BPW
10699;10706;7;PW
10706;10835;129;BPW
10835;10849;14;PW
10849;10854;5;BPW
10854;10918;64;BPW
10918;10982;64;ZW
10982;10984;2;BPW
10984;11013;29;PW
11013;11017;4;BPW
11017;11037;20;PW
11037;11052;15;BPW
11052;11067;15;PW
11067;11157;90;BPW
11157;11180;23;PW
11180;11219;39;BPW
11219;11283;64;BPW
11283;11347;64;ZW
11347;11353;6;ZW
11353;11364;11;BPW
11364;11384;20;PW
11384;11438;54;BPW
11438;11446;8;PW
11446;11463;17;BPW
11463;11585;122;PW
11585;11595;10;BPW
11595;11609;14;PW
11609;11611;2;BPW
11611;11624;13;PW
11624;11634;10;BPW
11634;11653;19;PW
11653;11668;15;BPW
11668;11683;15;PW
11683;11691;8;BPW
11691;11705;14;PW
11705;11712;7;BPW
11712;11754;42;PW
11754;11883;129;PW
11883;11904;21;PW
11904;11908;4;BPW
11908;11963;55;PW
11963;11969;6;BPW
11969;12098;129;PW
12098;12101;3;PW
12101;12108;7;PW
12108;12117;9;PW
12117;12142;;BPW
12142;12145;3;PW
12145;12150;;BPW
12150;12157;7;PW
12157;12200;;BPW
12200;12203;3;PW
12203;12210;3;PW
12210;12213;3;PW
12213;12216;;ZW
12216;12252;;BPW
;12255;3;PW
12255;12278;;BPW
;12285;7;PW
12285;12333;;BPW
12333;;3;PW
12336;12343;;PW
12343;;128;BPW
12471;;7;PW
12478;12523;;BPW
;12530;7;PW
12530;12585;;BPW
;12592;7;PW
12592;12660;;BPW
;12667;7;PW
12667;12710;;BPW
;12713;3;PW
12713;12729;;BPW
;12732;3;PW
;12739;7;PW
12739;12763;;BPW
;12770;7;PW
12770;12773;;BPW
;12780;7;PW
12780;13011;;BPW
;13018;7;PW
13018;13062;;BPW
;13069;7;PW
13069;13103;;BPW
;13110;7;PW
13110;13172;;BPW
;13179;7;PW
13179;13592;;BPW
;13599;7;PW
13599;13602;;BPW
;13609;7;PW
13609;13614;;BPW
;13630;16;PW
13630;13633;;BPW
;13642;9;ZW
13642;;7;ZW
13649;13653;;PW
